"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::f68e:38ff:fe87:a57e","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from f4:8e:38:87:a5:7e"
"2","0.006278000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.222?  Tell 192.168.16.253"
"3","0.039035000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.9?  Tell 192.168.16.254"
"4","0.039150000","192.168.14.141","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"5","0.057747000","Dell_1d:f8:d4","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.9.73"
"6","0.060186000","192.168.3.203","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"7","0.077077000","40:88:05:81:71:04","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.12.17"
"8","0.085763000","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"9","0.098310000","Ibm_36:9e:5e","Broadcast","ARP","60","Who has 192.168.16.214?  Tell 192.168.16.253"
"10","0.139610000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.10?  Tell 192.168.16.254"
"11","0.151808000","fe80::175:6553:3c34:d4f0","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from c8:1f:66:06:4a:84"
"12","0.178440000","f4:8e:38:87:40:e1","Broadcast","ARP","60","Who has 192.168.3.133?  Tell 192.168.3.127"
"13","0.181316000","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"14","0.185192000","Dell_28:20:ce","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.151"
"15","0.200904000","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"16","0.239023000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.11?  Tell 192.168.16.254"
"17","0.239625000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.1?  Tell 192.168.16.254"
"18","0.243260000","216.58.197.68","10.10.14.151","TCP","66","https > 51709 [FIN, ACK] Seq=1 Ack=1 Win=175 Len=0 TSval=2559300079 TSecr=23747257"
"19","0.245234000","fe80::208:a1ff:fe43:c3c2","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 00:08:a1:43:c3:c2"
"20","0.248429000","Dell_f3:81:c7","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.15.127"
"21","0.281997000","D-Link_9f:8a:c9","Broadcast","ARP","60","Who has 10.10.15.50?  Tell 10.10.15.65"
"22","0.283865000","Antholog_10:37:03","Broadcast","ARP","60","Gratuitous ARP for 192.168.20.6 (Request)"
"23","0.301527000","fe80::4046:d001:d60a:e934","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for fe80::1 from 00:25:64:92:4d:81"
"24","0.310878000","fe80::80a7:7d55:7ecf:5582","ff02::1:ff02:21a","ICMPv6","86","Neighbor Solicitation for fe80::726d:ecff:fe02:21a from 34:17:eb:9e:8e:45"
"25","0.328694000","HonHaiPr_01:86:2e","Broadcast","ARP","60","Who has 192.168.25.250?  Tell 192.168.17.64"
"26","0.339607000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.12?  Tell 192.168.16.254"
"27","0.340205000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.2?  Tell 192.168.16.254"
"28","0.345054000","192.168.9.83","192.168.31.255","NBNS","92","Name query NB MICROSOFT.COM<00>"
"29","0.345407000","Dell_ba:ac:7f","Broadcast","ARP","60","Who has 192.168.5.29?  Tell 192.168.3.222"
"30","0.382715000","fe80::104b:adee:75e6:c425","ff02::1:ff2f:e430","ICMPv6","86","Neighbor Solicitation for fe80::a490:6a6c:d52f:e430 from 00:19:d1:45:e9:4b"
"31","0.383289000","Dell_27:82:de","Broadcast","ARP","60","Who has 192.168.7.142?  Tell 192.168.3.149"
"32","0.424797000","Elitegro_bb:40:79","Broadcast","ARP","60","Who has 192.168.17.33?  Tell 192.168.17.13"
"33","0.438095000","108.168.177.14","10.10.13.238","TCP","103","[TCP segment of a reassembled PDU]"
"34","0.439027000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.13?  Tell 192.168.16.254"
"35","0.439623000","D-Link_95:3e:60","Broadcast","ARP","60","Who has 192.168.16.3?  Tell 192.168.16.254"
